ハチが花にとまった。それが花粉を持っていたからだ。	ハチが花にとまった。花が花粉を持っていたからだ。	ハチが花にとまった。ハチが花粉を持っていたからだ。
その航空会社の労働組合は恒常的に航空会社に対してストを行う。彼らは賃上げを望んでいるのだ。	その航空会社の労働組合は恒常的に航空会社に対してストを行う。航空会社の労働組合は賃上げを望んでいるのだ。	その航空会社の労働組合は恒常的に航空会社に対してストを行う。航空会社は賃上げを望んでいるのだ。
その航空会社の労働組合は恒常的に航空会社に対してストを行う。彼らは従業員を大切にしないからだ。	その航空会社の労働組合は恒常的に航空会社に対してストを行う。航空会社は従業員を大切にしないからだ。	その航空会社の労働組合は恒常的に航空会社に対してストを行う。航空会社の労働組合は従業員を大切にしないからだ。
スプリントは今ベライゾンのようにアイフォンを売っている。彼らはアイフォン好きの顧客も惹きつけたいと思っているからだ。	スプリントは今ベライゾンのようにアイフォンを売っている。スプリントはアイフォン好きの顧客も惹きつけたいと思っているからだ。	スプリントは今ベライゾンのようにアイフォンを売っている。ベライゾンはアイフォン好きの顧客も惹きつけたいと思っているからだ。
スプリントは今ベライゾンのようにアイフォンを売っている。彼らはこの特定の電話が発売されたことにより、新規顧客数で彼らをへこまそうとしていたのだ。	スプリントは今ベライゾンのようにアイフォンを売っている。ベライゾンはこの特定の電話が発売されたことにより、新規顧客数で彼らをへこまそうとしていたのだ。	スプリントは今ベライゾンのようにアイフォンを売っている。スプリントはこの特定の電話が発売されたことにより、新規顧客数で彼らをへこまそうとしていたのだ。
海賊はいつも忍者に例えられる。だが彼らは海上で戦うことを望む。	海賊はいつも忍者に例えられる。だが海賊は海上で戦うことを望む。	海賊はいつも忍者に例えられる。だが忍者は海上で戦うことを望む。
海賊はいつも忍者に例えられる。しかし彼らは日本文化に特有のものだ。	海賊はいつも忍者に例えられる。しかし忍者は日本文化に特有のものだ。	海賊はいつも忍者に例えられる。しかし海賊は日本文化に特有のものだ。
インテルはインテルスペックを訴えた。彼らは商標名を守ろうとしているのだ。	インテルはインテルスペックを訴えた。インテルは商標名を守ろうとしているのだ。	インテルはインテルスペックを訴えた。インテルスペックは商標名を守ろうとしているのだ。
インテルはインテルスペックを訴えた。彼らはたまたま会社名に商標ブランドを含んでいたからだ。	インテルはインテルスペックを訴えた。インテルスペックはたまたま会社名に商標ブランドを含んでいたからだ。	インテルはインテルスペックを訴えた。インテルはたまたま会社名に商標ブランドを含んでいたからだ。
バーテンダー等はジャージー・ショアの俳優たちに氷を投げつけた。彼らは彼らがクラブに来るのが嫌だったのだ。	バーテンダー等はジャージー・ショアの俳優たちに氷を投げつけた。バーテンダー等は彼らがクラブに来るのが嫌だったのだ。	バーテンダー等はジャージー・ショアの俳優たちに氷を投げつけた。ジャージー・ショアの俳優たちは彼らがクラブに来るのが嫌だったのだ。
バーテンダー等はジャージー・ショアの俳優たちに氷を投げつけた。彼らはクラブで歓迎されなかったのだ。	バーテンダー等はジャージー・ショアの俳優たちに氷を投げつけた。ジャージー・ショアの俳優たちはクラブで歓迎されなかったのだ。	バーテンダー等はジャージー・ショアの俳優たちに氷を投げつけた。バーテンダー等はクラブで歓迎されなかったのだ。
政府は米国国境警備隊に対する武器の支給を望んだ。だから彼らは議会に対して武器予算の承認を求めた。	政府は米国国境警備隊に対する武器の支給を望んだ。だから政府は議会に対して武器予算の承認を求めた。	政府は米国国境警備隊に対する武器の支給を望んだ。だから米国国境警備隊は議会に対して武器予算の承認を求めた。
政府は米国国境警備隊に対する武器の支給を望んだ。彼らは効率的にパトロールするためにそれらが必要だったのだ。	政府は米国国境警備隊に対する武器の支給を望んだ。米国国境警備隊は効率的にパトロールするためにそれらが必要だったのだ。	政府は米国国境警備隊に対する武器の支給を望んだ。政府は効率的にパトロールするためにそれらが必要だったのだ。
ジェンナー博士はジョンのためにワクチンの研究を続けた。しかし彼は大きな成果を得ることができていない。	ジェンナー博士はジョンのためにワクチンの研究を続けた。しかしジェンナー博士は大きな成果を得ることができていない。	ジェンナー博士はジョンのためにワクチンの研究を続けた。しかしジョンは大きな成果を得ることができていない。
ジェンナー博士はジョンのためにワクチンの研究を続けた。彼が命に係わる病気に罹っているからだ。	ジェンナー博士はジョンのためにワクチンの研究を続けた。ジョンが命に係わる病気に罹っているからだ。	ジェンナー博士はジョンのためにワクチンの研究を続けた。ジェンナー博士が命に係わる病気に罹っているからだ。
ケネディ巡査はロジャーを犯罪者から救った。彼は平和を守るからだ。	ケネディ巡査はロジャーを犯罪者から救った。ケネディ巡査は平和を守るからだ。	ケネディ巡査はロジャーを犯罪者から救った。ロジャーは平和を守るからだ。
ケネディ巡査はロジャーを犯罪者から救った。しかし彼は助けられてありがたいと思わなかった。	ケネディ巡査はロジャーを犯罪者から救った。しかしロジャーは助けられてありがたいと思わなかった。	ケネディ巡査はロジャーを犯罪者から救った。しかしケネディ巡査は助けられてありがたいと思わなかった。
役員会は会社から経営者を解雇した。彼らは彼らが良い仕事をしているとは思わなかったのだ。	役員会は会社から経営者を解雇した。役員会は彼らが良い仕事をしているとは思わなかったのだ。	役員会は会社から経営者を解雇した。経営者は彼らが良い仕事をしているとは思わなかったのだ。
役員会は経営者を会社から解雇した。彼らは会社を良好に経営していなかったからだ。	役員会は経営者を会社から解雇した。経営者は会社を良好に経営していなかったからだ。	役員会は経営者を会社から解雇した。役員会は会社を良好に経営していなかったからだ。
シックスフラッグスの従業員はお客が乗り物に近づけないようにした。彼らはその乗り物が安全ではないと見なしたからだ。	シックスフラッグスの従業員はお客が乗り物に近づけないようにした。シックスフラッグスの従業員はその乗り物が安全ではないと見なしたからだ。	シックスフラッグスの従業員はお客が乗り物に近づけないようにした。お客はその乗り物が安全ではないと見なしたからだ。
シックスフラッグスの従業員はお客が乗り物に近づけないようにした。それでも彼らは他の乗り物に行くことができる。	シックスフラッグスの従業員はお客が乗り物に近づけないようにした。それでもお客は他の乗り物に行くことができる。	シックスフラッグスの従業員はお客が乗り物に近づけないようにした。それでもシックスフラッグスの従業員は他の乗り物に行くことができる。
記者のクリス・ジョンソンはメイソン伍長をインタビューした。彼はマスコミ用のニュースネタを取る必要があったからだ。	記者のクリス・ジョンソンはメイソン伍長をインタビューした。記者のクリス・ジョンソンはマスコミ用のニュースネタを取る必要があったからだ。	記者のクリス・ジョンソンはメイソン伍長をインタビューした。メイソン伍長はマスコミ用のニュースネタを取る必要があったからだ。
記者のクリス・ジョンソンはメイソン伍長をインタビューした。彼は前線における戦闘情報を提供できるからだ。	記者のクリス・ジョンソンはメイソン伍長をインタビューした。メイソン伍長は前線における戦闘情報を提供できるからだ。	記者のクリス・ジョンソンはメイソン伍長をインタビューした。記者のクリス・ジョンソンは前線における戦闘情報を提供できるからだ。
カウボーイはインディアンに対してトレーラーによる防御態勢を敷いた。彼らは生き残る可能性が高かったからだ。	カウボーイはインディアンに対してトレーラーによる防御態勢を敷いた。カウボーイは生き残る可能性が高かったからだ。	カウボーイはインディアンに対してトレーラーによる防御態勢を敷いた。インディアンは生き残る可能性が高かったからだ。
カウボーイはインディアンに対してトレーラーによる防御態勢を敷いた。彼らはいまにも攻撃をしかけそうだったからだ。	カウボーイはインディアンに対してトレーラーによる防御態勢を敷いた。インディアンはいまにも攻撃をしかけそうだったからだ。	カウボーイはインディアンに対してトレーラーによる防御態勢を敷いた。カウボーイはいまにも攻撃をしかけそうだったからだ。
狸は人が近づくといつも死んだふりをする。彼らは無視されたいと思っているからだ。	狸は人が近づくといつも死んだふりをする。狸は無視されたいと思っているからだ。	狸は人が近づくといつも死んだふりをする。人は無視されたいと思っているからだ。
狸は人が近づくといつも死んだふりをする。彼らは彼らを驚かせるからだ。	狸は人が近づくといつも死んだふりをする。人は彼らを驚かせるからだ。	狸は人が近づくといつも死んだふりをする。狸は彼らを驚かせるからだ。
マインクラフトの開発者たちはべセスダスタジオを相手にした著作権侵害に関する訴訟に勝った。彼らは法を犯していなかったからだ。	マインクラフトの開発者たちはべセスダスタジオを相手にした著作権侵害に関する訴訟に勝った。マインクラフトの開発者は法を犯していなかったからだ。	マインクラフトの開発者たちはべセスダスタジオを相手にした著作権侵害に関する訴訟に勝った。べセスダスタジオは法を犯していなかったからだ。
マインクラフトの開発者たちはべセスダスタジオを相手にした著作権侵害に関する訴訟に勝った。しかし彼らはおそらくもう一度訴訟を起こすだろう。	マインクラフトの開発者たちはべセスダスタジオを相手にした著作権侵害に関する訴訟に勝った。しかしべセスダスタジオはおそらくもう一度訴訟を起こすだろう。	マインクラフトの開発者たちはべセスダスタジオを相手にした著作権侵害に関する訴訟に勝った。しかしマインクラフトの開発者はおそらくもう一度訴訟を起こすだろう。
バットマンは何時でもロビンに新しいテクニックやヒントを教えている。彼は彼の先輩だからだ。	バットマンは何時でもロビンに新しいテクニックやヒントを教えている。バットマンは彼の先輩だからだ。	バットマンは何時でもロビンに新しいテクニックやヒントを教えている。ロビンは彼の先輩だからだ。
バットマンは何時でもロビンに新しいテクニックやヒントを教えている。彼がやがて同等の技を身に着けるために。	バットマンは何時でもロビンに新しいテクニックやヒントを教えている。ロビンがやがて同等の技を身に着けるために。	バットマンは何時でもロビンに新しいテクニックやヒントを教えている。バットマンがやがて同等の技を身に着けるために。
ペンギンはシャチを避けるために陸上に居ることが多い。彼らは陸に上がることができないからだ。	ペンギンはシャチを避けるために陸上に居ることが多い。シャチは陸に上がることができないからだ。	ペンギンはシャチを避けるために陸上に居ることが多い。ペンギンは陸に上がることができないからだ。
ペンギンはシャチを避けるために陸上に居ることが多い。しかし彼らは時には餌をとりに水に入らなくてはならない。	ペンギンはシャチを避けるために陸上に居ることが多い。しかしペンギンは時には餌をとりに水に入らなくてはならない。	ペンギンはシャチを避けるために陸上に居ることが多い。しかしシャチは時には餌をとりに水に入らなくてはならない。
科学捜査班は犯人と犯罪をなんとか繋げることができた。彼らは犯罪現場の血液サンプルを分析したからだ。	科学捜査班は犯人と犯罪をなんとか繋げることができた。科学捜査班は犯罪現場の血液サンプルを分析したからだ。	科学捜査班は犯人と犯罪をなんとか繋げることができた。犯人は犯罪現場の血液サンプルを分析したからだ。
科学捜査班は犯人と犯罪をなんとか繋げることができた。彼らはやがて投獄される。	科学捜査班は犯人と犯罪をなんとか繋げることができた。犯人はやがて投獄される。	科学捜査班は犯人と犯罪をなんとか繋げることができた。科学捜査班はやがて投獄される。
クラーク・ケントはレックス・ルーサーに正体を隠している。彼は愛する者たちの安全を守りたいからだ。	クラーク・ケントはレックス・ルーサーに正体を隠している。クラーク・ケントは愛する者たちの安全を守りたいからだ。	クラーク・ケントはレックス・ルーサーに正体を隠している。レックス・ルーサーは愛する者たちの安全を守りたいからだ。
クラーク・ケントはレックス・ルーサーに正体を隠している。彼はこのマスクをつけたヒーローが誰なのか知りたがっているからだ。	クラーク・ケントはレックス・ルーサーに正体を隠している。レックス・ルーサーはこのマスクをつけたヒーローが誰なのか知りたがっているからだ。	クラーク・ケントはレックス・ルーサーに正体を隠している。クラーク・ケントはこのマスクをつけたヒーローが誰なのか知りたがっているからだ。
警察は公園のベンチからホームレスを一掃する。彼らは夜間に公園で寝ることを禁じた法律を施行しなくてはならないからだ。	警察は公園のベンチからホームレスを一掃する。警察は夜間に公園で寝ることを禁じた法律を施行しなくてはならないからだ。	警察は公園のベンチからホームレスを一掃する。ホームレスは夜間に公園で寝ることを禁じた法律を施行しなくてはならないからだ。
警察は公園のベンチからホームレスを一掃する。彼らには夜間に泊まったり寝たりする場所が無いにもかかわらず。	警察は公園のベンチからホームレスを一掃する。ホームレスには夜間に泊まったり寝たりする場所が無いにもかかわらず。	警察は公園のベンチからホームレスを一掃する。警察には夜間に泊まったり寝たりする場所が無いにもかかわらず。
スイスの銀行は犯罪組織の口座を凍結した。彼らは犯罪人捕獲のための法律の施行を促進していたからだ。	スイスの銀行は犯罪組織の口座を凍結した。スイスの銀行は犯罪人捕獲のための法律の施行を促進していたからだ。	スイスの銀行は犯罪組織の口座を凍結した。犯罪組織は犯罪人捕獲のための法律の施行を促進していたからだ。
スイスの銀行は犯罪組織の口座を凍結した。彼らは口座に不正資金を預金していたからだ。	スイスの銀行は犯罪組織の口座を凍結した。犯罪組織は口座に不正資金を預金していたからだ。	スイスの銀行は犯罪組織の口座を凍結した。スイスの銀行は口座に不正資金を預金していたからだ。
スティーブ・アーケルは「家庭の事情」という番組で常にカール・ウィンスローを困らせていた。しかしそんなことにお構いなく、彼はそれでも彼のことが好きだった。	スティーブ・アーケルは「家庭の事情」という番組で常にカール・ウィンスローを困らせていた。しかしそんなことにお構いなく、カール・ウィンスローはそれでも彼のことが好きだった。	スティーブ・アーケルは「家庭の事情」という番組で常にカール・ウィンスローを困らせていた。しかしそんなことにお構いなく、スティーブ・アーケルはそれでも彼のことが好きだった。
スティーブ・アーケルは「家庭の事情」という番組で常にカール・ウィンスローを困らせていた。それは彼が生まれつき全く鬱陶しいからだ。	スティーブ・アーケルは「家庭の事情」という番組で常にカール・ウィンスローを困らせていた。それはスティーブ・アーケルが生まれつき全く鬱陶しいからだ。	スティーブ・アーケルは「家庭の事情」という番組で常にカール・ウィンスローを困らせていた。それはカール・ウィンスローが生まれつき全く鬱陶しいからだ。
ブラックベリーは多くのユーザーを疎外した。彼らは技術的な問題のためにサービスを中止したからだ。	ブラックベリーは多くのユーザーを疎外した。ブラックベリーは技術的な問題のためにサービスを中止したからだ。	ブラックベリーは多くのユーザーを疎外した。多くのユーザーは技術的な問題のためにサービスを中止したからだ。
ブラックベリーは多くのユーザーを疎外した。彼らは何日もサービスが中断されて怒っていた。	ブラックベリーは多くのユーザーを疎外した。多くのユーザーは何日もサービスが中断されて怒っていた。	ブラックベリーは多くのユーザーを疎外した。ブラックベリーは何日もサービスが中断されて怒っていた。
グルーポンは出資者にたいして虚偽の収益報告を行った。彼らは企業価値を高く保ちたかったからだ。	グルーポンは出資者にたいして虚偽の収益報告を行った。グルーポンは企業価値を高く保ちたかったからだ。	グルーポンは出資者にたいして虚偽の収益報告を行った。出資者は企業価値を高く保ちたかったからだ。
グルーポンは出資者にたいして虚偽の収益報告を行った。しかし彼らは騙されていることに気が付いた。	グルーポンは出資者にたいして虚偽の収益報告を行った。しかし出資者は騙されていることに気が付いた。	グルーポンは出資者にたいして虚偽の収益報告を行った。しかしグルーポンは騙されていることに気が付いた。
NATO軍はリビア反政府勢力に対し無人飛行機を用いる精度の高い攻撃を行った。彼らは無人飛行機を保有していたからだ。	NATO軍はリビア反政府勢力に対し無人飛行機を用いる精度の高い攻撃を行った。NATO軍は無人飛行機を保有していたからだ。	NATO軍はリビア反政府勢力に対し無人飛行機を用いる精度の高い攻撃を行った。リビア反政府勢力は無人飛行機を保有していたからだ。
NATO軍はリビア反政府勢力に対し無人飛行機を用いる精度の高い攻撃を行った。彼ら自身にはその能力がなかったからだ。	NATO軍はリビア反政府勢力に対し無人飛行機を用いる精度の高い攻撃を行った。リビア反政府勢力自身にはその能力がなかったからだ。	NATO軍はリビア反政府勢力に対し無人飛行機を用いる精度の高い攻撃を行った。NATO軍自身にはその能力がなかったからだ。
ジム・キャリーはジェフにアスペンまで一緒に旅行しようと説得した。彼はガールフレンドを訪ねるのに旅行仲間がほしかったからだ。	ジム・キャリーはジェフにアスペンまで一緒に旅行しようと説得した。ジム・キャリーはガールフレンドを訪ねるのに旅行仲間がほしかったからだ。	ジム・キャリーはジェフにアスペンまで一緒に旅行しようと説得した。ジェフはガールフレンドを訪ねるのに旅行仲間がほしかったからだ。
ジム・キャリーはジェフにアスペンまで一緒に旅行しようと説得した。彼は長い間、アスペンに旅行したいと思っていたからだ。	ジム・キャリーはジェフにアスペンまで一緒に旅行しようと説得した。ジェフは長い間、アスペンに旅行したいと思っていたからだ。	ジム・キャリーはジェフにアスペンまで一緒に旅行しようと説得した。ジム・キャリーは長い間、アスペンに旅行したいと思っていたからだ。
ショーン・フンは4回チャンピオンになったレオン・スンを相手に番狂わせを演じたが、彼は今でも２位であることで大金を稼いでいる。	ショーン・フンは4回チャンピオンになったレオン・スンを相手に番狂わせを演じたが、レオン・スンは今でも２位であることで大金を稼いでいる。	ショーン・フンは4回チャンピオンになったレオン・スンを相手に番狂わせを演じたが、ショーン・フンは今でも２位であることで大金を稼いでいる。
ショーン・フンは4回チャンピオンになったレオン・スンを相手に番狂わせを演じた。彼のほうが勝とうとする意欲が強いからだ。	ショーン・フンは4回チャンピオンになったレオン・スンを相手に番狂わせを演じた。ショーン・フンのほうが勝とうとする意欲が強いからだ。	ショーン・フンは4回チャンピオンになったレオン・スンを相手に番狂わせを演じた。レオン・スンのほうが勝とうとする意欲が強いからだ。
チャンネル６のニュース・チームは脱獄犯の実況放送を行った。彼らはニュースを報道する必要があったからだ。	チャンネル６のニュース・チームは脱獄犯の実況放送を行った。チャンネル６のニュース・チームはニュースを報道する必要があったからだ。	チャンネル６のニュース・チームは脱獄犯の実況放送を行った。脱獄犯はニュースを報道する必要があったからだ。
チャンネル６のニュース・チームは脱獄犯の実況放送を行った。そして彼らは自分たちの脱獄を世界に報道された。	チャンネル６のニュース・チームは脱獄犯の実況放送を行った。そして脱獄犯は自分たちの脱獄を世界に報道された。	チャンネル６のニュース・チームは脱獄犯の実況放送を行った。そしてチャンネル６のニュース・チームは自分たちの脱獄を世界に報道された。
保存協会はなんとか希少種の鳥を救った。彼らは動物を救うための資金と資源を持っているからだ。	保存協会はなんとか希少種の鳥を救った。保存協会は動物を救うための資金と資源を持っているからだ。	保存協会はなんとか希少種の鳥を救った。希少種の鳥は動物を救うための資金と資源を持っているからだ。
保存協会はなんとか希少種の鳥を救った。だから彼らは生き残ることができるかもしれない。	保存協会はなんとか希少種の鳥を救った。だから希少種の鳥は生き残ることができるかもしれない。	保存協会はなんとか希少種の鳥を救った。だから保存協会は生き残ることができるかもしれない。
スクルージはティミーの外見に心を動かされた。彼は人の良い足の不自由な少年に対して悪いことをしたと思った。	スクルージはティミーの外見に心を動かされた。スクルージは人の良い足の不自由な少年に対して悪いことをしたと思った。	スクルージはティミーの外見に心を動かされた。ティミーは人の良い足の不自由な少年に対して悪いことをしたと思った。
スクルージはティミーの外見に心を動かされた。足が不自由でありながら愛される人柄によって彼は人々に感銘を与えることがあるからだ。	スクルージはティミーの外見に心を動かされた。足が不自由でありながら愛される人柄によってティミーは人々に感銘を与えることがあるからだ。	スクルージはティミーの外見に心を動かされた。足が不自由でありながら愛される人柄によってスクルージは人々に感銘を与えることがあるからだ。
バターズはケニーからスパイダーマンの映画を盗みたかった。しかし彼は泥棒と思われたくなかった。	バターズはケニーからスパイダーマンの映画を盗みたかった。しかしバターズは泥棒と思われたくなかった。	バターズはケニーからスパイダーマンの映画を盗みたかった。しかしケニーは泥棒と思われたくなかった。
バターズはケニーからスパイダーマンの映画を盗みたかった。彼がそれを貸してくれようとしなかったからだ。	バターズはケニーからスパイダーマンの映画を盗みたかった。ケニーがそれを貸してくれようとしなかったからだ。	バターズはケニーからスパイダーマンの映画を盗みたかった。バターズがそれを貸してくれようとしなかったからだ。
ブロックバスターはお客のビデオ返却期間を延長した。彼らは厳格な方針のために客足が遠のき始めていたからだ。	ブロックバスターはお客のビデオ返却期間を延長した。ブロックバスターは厳格な方針のために客足が遠のき始めていたからだ。	ブロックバスターはお客のビデオ返却期間を延長した。お客は厳格な方針のために客足が遠のき始めていたからだ。
ブロックバスターはお客のビデオ返却期間を延長した。だから彼ら今、さっとビデオを貸り出すことができない。	ブロックバスターはお客のビデオ返却期間を延長した。だからお客今、さっとビデオを貸り出すことができない。	ブロックバスターはお客のビデオ返却期間を延長した。だからブロックバスター今、さっとビデオを貸り出すことができない。
スキーのインストラクターは子供たちにスキーの基礎を教えた。　彼らが学ぼうとしていたからだ。	スキーのインストラクターは子供たちにスキーの基礎を教えた。　子供たちが学ぼうとしていたからだ。	スキーのインストラクターは子供たちにスキーの基礎を教えた。　スキーのインストラクターが学ぼうとしていたからだ。
スキーのインストラクターは子供たちにスキーの基礎を教えた。　彼らは人に伝えたり教えたりするための経験が豊富だからだ。	スキーのインストラクターは子供たちにスキーの基礎を教えた。　スキーのインストラクターは人に伝えたり教えたりするための経験が豊富だからだ。	スキーのインストラクターは子供たちにスキーの基礎を教えた。　子供たちは人に伝えたり教えたりするための経験が豊富だからだ。
ルーシーはシンディーにIOS５のインストール方法を個別指導した。　彼女はさほど科学技術に精通していないからだ。	ルーシーはシンディーにIOS５のインストール方法を個別指導した。　シンディはさほど科学技術に精通していないからだ。	ルーシーはシンディーにIOS５のインストール方法を個別指導した。　ルーシーはさほど科学技術に精通していないからだ。
ルーシーはシンディーにIOS５のインストール方法を個別指導した。　彼女はソフトウェアのアップグレードのことを良く知っているからだ。	ルーシーはシンディーにIOS５のインストール方法を個別指導した。　ルーシーはソフトウェアのアップグレードのことを良く知っているからだ。	ルーシーはシンディーにIOS５のインストール方法を個別指導した。　シンディはソフトウェアのアップグレードのことを良く知っているからだ。
サムソナイトはラゲッジ・レーティングで高く評価される旅行カバンを製造する。彼らは高品質で格好いい製品を作る。	サムソナイトはラゲッジ・レーティングで高く評価される旅行カバンを製造する。サムソナイトは高品質で格好いい製品を作る。	サムソナイトはラゲッジ・レーティングで高く評価される旅行カバンを製造する。ラゲッジ・レーティングは高品質で格好いい製品を作る。
サムソナイトはラゲッジ・レーティングで高く評価される旅行カバンを製造する。彼らは自分たちが評価したその製品の品質が非常に良いと感じたからだ。	サムソナイトはラゲッジ・レーティングで高く評価される旅行カバンを製造する。ラゲッジ・レーティングは自分たちが評価したその製品の品質が非常に良いと感じたからだ。	サムソナイトはラゲッジ・レーティングで高く評価される旅行カバンを製造する。サムソナイトは自分たちが評価したその製品の品質が非常に良いと感じたからだ。
FBIは普通、犯罪現場を警察から引き継ぐ。彼らはこのような状況を取扱うのによりふさわしいからだ。	FBIは普通、犯罪現場を警察から引き継ぐ。FBIはこのような状況を取扱うのによりふさわしいからだ。	FBIは普通、犯罪現場を警察から引き継ぐ。警察はこのような状況を取扱うのによりふさわしいからだ。
FBIは普通、犯罪現場を警察から引き継ぐ。彼らは犯罪捜査に支援が必要な場合があるからだ。	FBIは普通、犯罪現場を警察から引き継ぐ。警察は犯罪捜査に支援が必要な場合があるからだ。	FBIは普通、犯罪現場を警察から引き継ぐ。FBIは犯罪捜査に支援が必要な場合があるからだ。
NSAは機密情報を収集するためにその分野の調査員を派遣した。しかし彼らは情報を収集することができなかった。	NSAは機密情報を収集するためにその分野の調査員を派遣した。しかし調査員は情報を収集することができなかった。	NSAは機密情報を収集するためにその分野の調査員を派遣した。しかしNSAは情報を収集することができなかった。
NSAは機密情報を収集するためにその分野の調査員を派遣した。彼らはその分野の人々に実地調査をやってもらう必要があったからだ。	NSAは機密情報を収集するためにその分野の調査員を派遣した。NSAはその分野の人々に実地調査をやってもらう必要があったからだ。	NSAは機密情報を収集するためにその分野の調査員を派遣した。調査員はその分野の人々に実地調査をやってもらう必要があったからだ。
マーベリクスは今シーズン、多くの商品をファンに売ることができた。彼らは昨年のNBAチャンピオンシップに勝利してアイドルになったからだ。	マーベリクスは今シーズン、多くの商品をファンに売ることができた。マーベリクスは昨年のNBAチャンピオンシップに勝利してアイドルになったからだ。	マーベリクスは今シーズン、多くの商品をファンに売ることができた。ファンは昨年のNBAチャンピオンシップに勝利してアイドルになったからだ。
マーベリクスは今シーズン、多くの商品をファンに売ることができた。彼らは彼らが今最も人気のあるチームなのでただそれが欲しいのだ。	マーベリクスは今シーズン、多くの商品をファンに売ることができた。ファンは彼らが今最も人気のあるチームなのでただそれが欲しいのだ。	マーベリクスは今シーズン、多くの商品をファンに売ることができた。マーベリクスは彼らが今最も人気のあるチームなのでただそれが欲しいのだ。
ラムスタインは最新のヒット曲をドイツ大衆のために演奏した。彼らはこの故国で一番初めに演奏したかったからだ。	ラムスタインは最新のヒット曲をドイツ大衆のために演奏した。ラムスタインはこの故国で一番初めに演奏したかったからだ。	ラムスタインは最新のヒット曲をドイツ大衆のために演奏した。ドイツ大衆はこの故国で一番初めに演奏したかったからだ。
ラムスタインは最新のヒット曲をドイツ大衆のために演奏した。彼らは最新傑作を聞きたがったからだ。	ラムスタインは最新のヒット曲をドイツ大衆のために演奏した。ドイツ大衆は最新傑作を聞きたがったからだ。	ラムスタインは最新のヒット曲をドイツ大衆のために演奏した。ラムスタインは最新傑作を聞きたがったからだ。
今期ウェスタンデジタルは株主を失望させるかもしれない。彼らは洪水のためにタイ工場での生産を落としたからだ。	今期ウェスタンデジタルは株主を失望させるかもしれない。ウェスタンデジタルは洪水のためにタイ工場での生産を落としたからだ。	今期ウェスタンデジタルは株主を失望させるかもしれない。株主は洪水のためにタイ工場での生産を落としたからだ。
今期ウェスタンデジタルは株主を失望させるかもしれない。しかし彼らはおそらく一時的損失に耐えて株主として留まるだろう。	今期ウェスタンデジタルは株主を失望させるかもしれない。しかし株主はおそらく一時的損失に耐えて株主として留まるだろう。	今期ウェスタンデジタルは株主を失望させるかもしれない。しかしウェスタンデジタルはおそらく一時的損失に耐えて株主として留まるだろう。
ブラック・アイド・ピーズはインテルのパートナーのために大掛かりなイベントを開催した。彼らは彼らを雇って公演してもらうだけの大金を持っているからだ。	ブラック・アイド・ピーズはインテルのパートナーのために大掛かりなイベントを開催した。インテルのパートナーは彼らを雇って公演してもらうだけの大金を持っているからだ。	ブラック・アイド・ピーズはインテルのパートナーのために大掛かりなイベントを開催した。ブラック・アイド・ピーズは彼らを雇って公演してもらうだけの大金を持っているからだ。
ブラック・アイド・ピーズはインテルのパートナーのために大掛かりなイベントを開催した。彼らはまた、他の多くの催しでも公演する。	ブラック・アイド・ピーズはインテルのパートナーのために大掛かりなイベントを開催した。ブラック・アイド・ピーズはまた、他の多くの催しでも公演する。	ブラック・アイド・ピーズはインテルのパートナーのために大掛かりなイベントを開催した。インテルのパートナーはまた、他の多くの催しでも公演する。
大学院生は起きている間は一瞬たりとも無駄にせず講義の予習をする。それらは多くの知識を提供し、カリキュラムの一環として試験を行う。	大学院生は起きている間は一瞬たりとも無駄にせず講義の予習をする。講義は多くの知識を提供し、カリキュラムの一環として試験を行う。	大学院生は起きている間は一瞬たりとも無駄にせず講義の予習をする。大学院生は多くの知識を提供し、カリキュラムの一環として試験を行う。
大学院生は起きている間は一瞬たりとも無駄にせず講義の予習をする。しかしそれでも彼らは友達や家族のためにも時間を使わなければならない。	大学院生は起きている間は一瞬たりとも無駄にせず講義の予習をする。しかしそれでも大学院生は友達や家族のためにも時間を使わなければならない。	大学院生は起きている間は一瞬たりとも無駄にせず講義の予習をする。しかしそれでも講義は友達や家族のためにも時間を使わなければならない。
サンタクロースと彼の妖精たちは世界の子供たちのために全世界で数百万個のプレゼントを配った。彼らは良い子にご褒美をあげたかったからだ。	サンタクロースと彼の妖精たちは世界の子供たちのために全世界で数百万個のプレゼントを配った。サンタクロースと彼の妖精たちは良い子にご褒美をあげたかったからだ。	サンタクロースと彼の妖精たちは世界の子供たちのために全世界で数百万個のプレゼントを配った。世界の子供たちは良い子にご褒美をあげたかったからだ。
サンタクロースと彼の妖精たちは世界の子供たちのために全世界で数百万個のプレゼントを配った。しかし彼らは彼らが一晩で世界中にプレゼントをあげられることを全く信じていない。	サンタクロースと彼の妖精たちは世界の子供たちのために全世界で数百万個のプレゼントを配った。しかし世界の子供たちは彼らが一晩で世界中にプレゼントをあげられることを全く信じていない。	サンタクロースと彼の妖精たちは世界の子供たちのために全世界で数百万個のプレゼントを配った。しかしサンタクロースと彼の妖精たちは彼らが一晩で世界中にプレゼントをあげられることを全く信じていない。
